card,Troops,flagURL,lllat,lllon,ratio,width
7,Nazi,https://raw.githubusercontent.com/DanielJWood/dunkirk/master/img/nazi.png,50.57626026,3.592529297,2,0.5
7,Nazi,https://raw.githubusercontent.com/DanielJWood/dunkirk/master/img/nazi.png,50.02891656,3.153076172,2,0.5
7,Nazi,https://raw.githubusercontent.com/DanielJWood/dunkirk/master/img/nazi.png,50.38050249,1.823730469,2,0.5
8,United Kingdom,https://raw.githubusercontent.com/DanielJWood/dunkirk/master/img/uk.png,51.01764242,2.363433838,2,0.11
8,France,https://github.com/DanielJWood/dunkirk/raw/master/img/france.png,50.92857415,2.436904907,2,0.11
8,Nazi,https://raw.githubusercontent.com/DanielJWood/dunkirk/master/img/nazi.png,50.809406,1.809997559,2,0.3
8,Nazi,https://raw.githubusercontent.com/DanielJWood/dunkirk/master/img/nazi.png,50.65120196,2.007751465,2,0.3
8,Nazi,https://raw.githubusercontent.com/DanielJWood/dunkirk/master/img/nazi.png,50.6303,2.590026855,2,0.3
8,Nazi,https://raw.githubusercontent.com/DanielJWood/dunkirk/master/img/nazi.png,50.84583877,3.183288574,2,0.3
8,Nazi,https://raw.githubusercontent.com/DanielJWood/dunkirk/master/img/nazi.png,51.05693373,3.15032959,2,0.3
9,Nazi,https://raw.githubusercontent.com/DanielJWood/dunkirk/master/img/nazi.png,51.01764242,2.363433838,2,0.3
9,United Kingdom,https://raw.githubusercontent.com/DanielJWood/dunkirk/master/img/uk.png,51.1262791,1.2658841,2,0.3
